longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,,predicted
-120.65,38.42,23,1538,305,730,267,2.6078,116700,INLAND,,114298
-121.33,38.68,13,5826,1411,2244,1219,1.9093,142900,INLAND,,113809
-117.97,33.75,32,1564,270,973,290,3.75,190400,<1H OCEAN,,187138
-121.44,37.75,16,2229,458,1199,445,3.4821,170600,INLAND,,134315
-121.51,38.26,52,910,212,429,212,1.6458,52800,INLAND,,107384
-122.29,37.81,20,835,161,290,133,2.483,137500,NEAR BAY,,115436.01
-122.08,37.65,17,5018,1439,3069,1299,2.7694,161900,NEAR BAY,,169178
-122.49,37.78,47,2695,643,1505,644,3.0877,329100,NEAR BAY,,350685.02
-120.42,38.42,18,2912,663,999,411,2.7344,91900,INLAND,,113152
-118.13,34.16,52,1872,357,984,364,4,250400,<1H OCEAN,,253466.01
-117.01,34.9,36,2181,555,1404,492,2.3077,55500,INLAND,,56177.97
-117.24,32.74,43,2216,375,918,388,5.5289,297700,NEAR OCEAN,,398172.33
-118.15,33.84,29,2448,354,894,349,7.6526,481300,<1H OCEAN,,395494.18
-118.01,33.94,36,1921,329,969,327,4.9191,188700,<1H OCEAN,,220196
-118.36,33.94,38,2169,688,3036,639,2.3125,148500,<1H OCEAN,,170532
-118.19,33.99,36,1273,379,1398,353,2.4516,147800,<1H OCEAN,,153649
-121.9,37.31,52,2125,431,1014,443,5.8186,281100,<1H OCEAN,,410713.22
-118.43,34.29,38,1237,298,1073,293,3.6726,154600,<1H OCEAN,,166609
-121.08,38.93,14,4239,824,1729,794,2.4278,167700,INLAND,,141842
-122.48,38.9,10,304,63,161,61,2.1964,112500,INLAND,,105064.99
-122.18,37.91,31,7200,876,2428,843,10.9405,500001,NEAR BAY,,496991.97
-121.42,38.6,23,3713,1078,2194,1018,1.7451,89600,INLAND,,91694
-117.17,32.72,44,626,256,572,229,1.5909,262500,NEAR OCEAN,,153377
-117.88,33.7,18,2135,373,1464,405,5.4836,225800,<1H OCEAN,,250196
-120.97,37.73,19,3725,543,1412,463,5.7476,248600,INLAND,,211850
-121.63,39.15,16,1547,418,940,400,1.5613,72500,INLAND,,90429
-120.27,37.12,42,1142,236,597,210,1.7279,52300,INLAND,,71983
-121.96,37.43,18,2514,578,2205,545,3.3859,158000,<1H OCEAN,,216922
-118.32,34.17,45,3448,690,1562,643,4.0648,258800,<1H OCEAN,,279589.02
-117.95,33.78,26,4115,883,2184,825,3.9536,191000,<1H OCEAN,,201441
-121.87,37.3,14,360,124,134,84,2.7411,112500,<1H OCEAN,,253103.13
-117.23,34.11,22,1162,221,995,244,2.5875,81300,INLAND,,102279
-117.96,33.85,36,1951,365,1254,358,4.8438,185700,<1H OCEAN,,189458
-122.42,37.79,52,2737,1241,1761,1029,1.8068,225000,NEAR BAY,,348266.1
-120.08,39.23,19,1746,306,251,104,4.8182,146900,INLAND,,173889
-118.25,34.02,50,180,89,356,76,2.1944,158300,<1H OCEAN,,99283
-119.33,36.19,27,418,163,332,141,1.0714,63800,INLAND,,61269.99
-120.56,35.07,14,6788,1216,2866,1036,3.3603,280200,<1H OCEAN,,210195
-117.1,32.58,17,2046,559,1585,530,2.25,132800,NEAR OCEAN,,125952
-118.2,34.13,30,3369,824,2032,795,4.0052,196400,<1H OCEAN,,273732.02
-117.22,32.81,24,730,196,335,203,3.5078,362500,NEAR OCEAN,,204713.03
-118.41,34,18,1307,441,884,456,2.9338,276300,<1H OCEAN,,346492.11
-119.71,36.81,19,1648,368,557,354,1.7969,72800,INLAND,,89460.99
-118.44,34.06,28,3910,959,1763,867,5.5,500001,<1H OCEAN,,444095.64
-117.97,33.84,34,874,153,549,153,4.8667,186800,<1H OCEAN,,193821
-119.63,36.32,36,1518,287,749,255,2.2333,61000,INLAND,,75776
-118.53,34.04,45,1711,264,735,261,9.1078,500001,<1H OCEAN,,497662.97
-117.93,34.07,36,1207,209,683,213,5.3559,207300,<1H OCEAN,,221836
-117.31,34.08,40,2011,495,1528,469,1.9375,69900,INLAND,,77473
-122.44,37.7,6,3523,664,1705,608,4.9318,258100,NEAR OCEAN,,246581
-122.04,37.34,23,2590,725,1795,680,3.16,225000,<1H OCEAN,,258586.02
-121.26,38.65,17,2655,421,991,384,4.6484,270600,INLAND,,174322
-118.49,34.19,23,2087,571,1809,553,3.1667,202000,<1H OCEAN,,201878
-118.29,34.09,35,2198,998,3441,912,2.0467,158300,<1H OCEAN,,212813
-122.04,38.24,30,2081,456,1005,438,1.9954,92900,INLAND,,94835
-117.82,33.73,24,845,190,482,190,4.7039,225000,<1H OCEAN,,202497
-117.81,33.74,24,2696,649,1908,626,3.3047,216900,<1H OCEAN,,170858
-117.95,33.7,17,5781,924,2585,915,5.343,231900,<1H OCEAN,,282131
-123.82,40.12,33,2985,591,1221,486,2.087,82400,<1H OCEAN,,99621
-118.36,33.86,37,1249,218,583,214,5.7422,330700,<1H OCEAN,,364479.13
-118.77,34.28,27,1416,251,1024,268,5.1074,185200,<1H OCEAN,,213728
-122.29,37.86,52,1665,404,815,372,1.9946,156900,NEAR BAY,,164165
-120.18,36.59,25,948,198,613,171,2.3026,90600,INLAND,,73492
-118.02,34.09,24,2080,514,1976,478,2.6917,170000,INLAND,,176789
-117.96,33.82,29,2176,468,1632,428,3.707,180400,<1H OCEAN,,187941
-120.13,39.06,22,2465,539,381,146,2.875,87500,INLAND,,139152
-121.35,38.68,18,7923,1558,3789,1473,3.5403,98600,INLAND,,124082
-121.73,36.9,23,2392,721,3074,718,2.5195,136900,<1H OCEAN,,151536
-117.18,34.08,28,2243,399,1464,379,3.2105,90300,INLAND,,101392
-122.91,39.18,43,89,18,86,27,2.0208,72500,INLAND,,90124.92
-119.74,36.65,19,2546,463,1257,418,2.9013,89500,INLAND,,79038
-118.34,33.99,48,2225,433,1170,401,2.9643,140400,<1H OCEAN,,162804.01
-118.13,34.2,45,1213,206,529,231,5.6629,234000,INLAND,,280453.03
-117.17,32.83,24,3541,530,1591,530,5.3538,212500,NEAR OCEAN,,233866.01
-118.5,34.2,42,1558,322,884,334,2.2304,203800,<1H OCEAN,,196369
-117.97,33.72,24,2991,500,1437,453,5.4286,273400,<1H OCEAN,,266240
-118.39,34.08,27,6605,1710,2665,1520,3.8088,500001,<1H OCEAN,,387878.27
-119.71,36.83,5,1087,338,623,362,1.8061,113400,INLAND,,97470
-117.89,33.88,27,2091,336,1037,332,5.7519,243400,<1H OCEAN,,255650
-117.19,33.14,12,3652,923,1677,728,2.3267,92000,<1H OCEAN,,139952
-114.62,33.62,26,18,3,5,3,0.536,275000,INLAND,,126735.01
-122.25,37.8,29,2468,864,1335,773,1.3929,193800,NEAR BAY,,206221.04
-118.25,33.97,32,879,257,1057,230,1.6776,114800,<1H OCEAN,,103379
-122.14,37.72,45,1397,253,555,248,2.983,202700,NEAR BAY,,185534
-117.97,34.17,35,5005,848,2112,813,4.9968,295000,INLAND,,287787.02
-122.55,38.42,24,2220,411,894,365,4.2891,211700,<1H OCEAN,,252570.01
-118.22,34.52,7,4524,735,2298,717,6.5538,311600,INLAND,,245654
-118.23,34.13,34,609,149,407,145,4.5766,185800,<1H OCEAN,,222374.01
-117.13,32.72,43,2160,504,1221,452,2.4821,140600,NEAR OCEAN,,153231
-119.03,35.36,41,1944,363,977,388,3.9097,81300,INLAND,,95894
-122.41,37.8,52,3278,775,1279,709,5.4378,500001,NEAR BAY,,438428.5
-122.46,37.72,37,1833,388,1093,363,3.0703,211800,NEAR OCEAN,,258064
-118.07,33.93,5,906,187,1453,158,4.125,171900,<1H OCEAN,,162181
-121.82,37.28,33,2873,489,1946,475,5.0709,176400,<1H OCEAN,,242145.02
-121.9,36.58,31,1431,,704,393,3.1977,289300,NEAR OCEAN,,299419.03
-117.94,34.15,33,859,144,421,138,4.4821,220100,INLAND,,235836.01
-121.3,38.13,26,2256,360,937,372,5.0528,153700,INLAND,,163500
-118.36,34.06,39,2810,670,1109,624,3.25,355000,<1H OCEAN,,343613.1
-118.23,34.14,33,2865,864,2061,790,2.6268,201300,<1H OCEAN,,199198
-119.72,34.43,27,984,299,777,313,2.5694,275000,<1H OCEAN,,253151.01
-121.76,36.75,21,1141,257,671,195,3.8424,155700,<1H OCEAN,,226390.01
-117.09,32.74,23,3130,779,2472,744,2.32,93200,NEAR OCEAN,,112754
-118.19,34.04,39,1074,323,1613,308,2.3015,131700,<1H OCEAN,,144844
-118.36,33.89,34,760,174,723,198,5.3169,227600,<1H OCEAN,,286453
-118.09,33.96,20,1911,472,1407,465,2.7647,163000,<1H OCEAN,,167957
-119.9,37.49,13,2230,443,920,361,3,112000,INLAND,,111241
-117.49,33.64,3,8874,1302,3191,1027,6.8588,302000,<1H OCEAN,,305254.02
-121.36,38.01,16,926,230,451,198,4.0221,173300,INLAND,,127813
-117.35,34.16,36,1717,348,1054,279,2.4444,73400,INLAND,,90799
-118.35,33.8,19,6224,1105,3152,1076,5.9541,500001,<1H OCEAN,,332752.07
-117.2,32.84,34,3353,544,1583,571,4.55,187700,NEAR OCEAN,,231102
-118.46,34.32,10,5777,1112,2917,1056,4.1514,194100,<1H OCEAN,,225726.01
-121.6,37.13,14,9483,1361,4108,1281,7.5,344500,<1H OCEAN,,368672.02
-118.35,33.98,33,1884,477,1518,449,3.1194,152800,<1H OCEAN,,206099
-121.72,38,7,7957,1314,4460,1293,4.9618,156500,INLAND,,162288
-117.99,33.73,24,2104,421,1181,414,3.8365,250900,<1H OCEAN,,197917
-121.85,37.33,16,2987,874,4241,841,2.8024,127900,<1H OCEAN,,173775
-117.93,33.62,33,1890,416,859,329,4.5658,500001,<1H OCEAN,,393270.36
-120.02,36.8,25,1270,255,1050,245,2.1618,55300,INLAND,,65273
-122.38,37.58,52,1704,226,671,243,8.4704,500001,NEAR OCEAN,,487343.85
-117.84,33.74,22,6072,1802,4715,1666,3.1353,121400,<1H OCEAN,,172084
-117.98,33.77,7,2252,570,1576,550,3.6333,169800,<1H OCEAN,,163596
-122.59,37.97,46,4036,856,1872,833,4.5625,275200,NEAR OCEAN,,327546
-119.35,35.59,14,2719,502,1497,457,3.176,71800,INLAND,,85146
-121.24,39.22,14,983,163,399,161,2.2917,145100,INLAND,,111903
-117.96,34.08,28,2831,552,2330,557,3.9741,173100,<1H OCEAN,,185085
-117.7,33.64,15,5743,773,2380,773,8.1926,326600,<1H OCEAN,,370364.02
-117.65,34.04,28,2360,607,2623,592,2.5048,100000,INLAND,,116227
-121.9,38.02,5,1560,369,1037,372,3.6154,181800,INLAND,,142321
-118.07,33.99,41,1204,252,1002,248,3.0577,163300,<1H OCEAN,,166833
-118.28,33.99,49,2174,481,1861,484,1.7159,95000,<1H OCEAN,,102443
-117.89,33.83,35,2984,446,1435,455,5.6276,200800,<1H OCEAN,,247799.01
-119.35,36.42,18,1115,193,1742,176,2.7969,123800,INLAND,,72340
-122.3,37.55,35,3675,735,1930,715,3.9833,342800,NEAR OCEAN,,300499
-118.16,34.7,33,2918,494,1365,478,4.8787,127700,INLAND,,208968
-122.48,38.48,29,2278,397,765,322,4.6379,348200,INLAND,,278327
-119.73,36.52,20,1741,331,1466,289,2.5921,94200,INLAND,,68112
-122.25,37.53,16,4428,664,1677,623,7.6864,422500,NEAR BAY,,402860.08
-118.37,34.07,52,1084,247,468,255,3.4286,474300,<1H OCEAN,,402808.05
-118.04,33.85,24,2233,347,1162,355,5.6094,279200,<1H OCEAN,,260103
-116.95,32.74,7,2722,578,1429,574,3.9583,141700,<1H OCEAN,,166677
-122.58,38.1,22,11872,2300,5600,2200,4.6463,276300,NEAR BAY,,241877
-118.47,34.04,21,5041,1491,2719,1420,3.5335,268800,<1H OCEAN,,368474.17
-118.25,33.92,44,1137,235,747,225,2,92600,<1H OCEAN,,96928
-117.29,34.14,52,1683,266,646,256,4.0481,97300,INLAND,,135488
-119.49,37.1,24,2532,555,1564,507,2.3359,92400,INLAND,,86344
-122.7,38.45,26,2011,557,855,530,1.125,233300,<1H OCEAN,,164741
-121.9,37.44,12,4228,734,2594,732,6.6086,299400,<1H OCEAN,,316158.07
-117.27,34.24,34,3687,756,941,367,2.875,117600,INLAND,,102180
-121.27,38.12,44,2356,482,1043,443,2.4949,108000,INLAND,,93947
-119.72,34.42,31,1524,383,1257,398,2.6019,250000,NEAR OCEAN,,232219
-119.54,36.51,36,49,7,28,2,4.625,162500,INLAND,,140456
-118.41,33.97,44,2298,388,849,360,5.5941,363500,<1H OCEAN,,395656.23
-120.85,37.51,15,1131,285,728,281,1.5531,93100,INLAND,,111757
-122.42,37.75,52,1207,302,1008,269,3.3816,262500,NEAR BAY,,261280
-118.28,33.98,47,865,193,782,217,2.2411,93000,<1H OCEAN,,122602
-118.27,33.82,39,1357,249,763,229,4.25,200300,<1H OCEAN,,191470
-117.01,32.73,22,2526,530,1556,529,2.8646,120800,NEAR OCEAN,,136992
-122.25,37.8,52,2087,510,1197,488,3.0149,218400,NEAR BAY,,240781.01
-118.44,33.88,35,2020,451,724,399,6.6494,500001,NEAR OCEAN,,464550.38
-118.35,33.85,35,1248,206,551,185,5.6426,348200,<1H OCEAN,,320392
-122.35,37.96,35,1326,346,1023,295,2.0724,97700,NEAR BAY,,101070
-118.43,34.16,41,2050,478,850,490,3.4208,343400,<1H OCEAN,,357229.12
-118.3,33.93,29,2228,396,1140,352,3.7969,169400,<1H OCEAN,,164439
-121.28,38.53,18,224,38,95,41,3.1042,165000,INLAND,,142336
-117.27,33,36,2426,454,1085,420,5.1523,387800,NEAR OCEAN,,351374.25
-122.41,37.63,35,865,226,602,217,3,229100,NEAR OCEAN,,272107.04
-117.18,32.76,8,3694,997,1297,807,3.6492,158900,NEAR OCEAN,,223325
-118.45,33.99,45,1132,269,654,264,4.5673,343100,<1H OCEAN,,336818
-117.07,32.8,36,2028,349,820,352,3.9828,168900,<1H OCEAN,,166255
-121.34,38.59,22,3273,480,1151,463,8.05,380000,INLAND,,324281.01
-118.64,34.22,16,4312,574,1902,574,8.4438,390000,<1H OCEAN,,413918.05
-117.94,33.88,46,1747,312,770,296,5.4217,256000,<1H OCEAN,,280127.09
-121.98,37.27,25,3075,564,1633,543,5.2528,269400,<1H OCEAN,,274734
-117.02,32.73,22,5201,865,3280,817,4.7952,141400,NEAR OCEAN,,168467
-118.09,34.15,45,1345,356,749,327,2.8007,210900,INLAND,,221612
-122.52,37.89,17,4363,1041,1640,989,3.9531,417600,NEAR BAY,,351358.06
-117.24,34.14,6,2383,606,1301,488,3.016,107500,INLAND,,118489
-118.58,34.21,27,2209,353,1034,344,4.7125,250900,<1H OCEAN,,234009.01
-118.02,33.92,34,2169,418,1169,406,3.2222,218700,<1H OCEAN,,190403
-117.82,33.82,22,3173,372,1181,355,8.3637,500001,<1H OCEAN,,375553.02
-117.87,33.84,23,1678,369,912,347,4.5,237300,<1H OCEAN,,205221
-122.45,38.01,36,4501,832,2196,800,4.3182,252700,NEAR BAY,,290493.01
-117.69,36.13,25,1709,439,632,292,1.7868,45500,INLAND,,83092
-118.18,34.03,26,859,255,835,232,1.1929,143800,<1H OCEAN,,167706
-122.44,37.78,37,1235,314,481,297,3.6875,492300,NEAR BAY,,362226.03
-117.99,34.08,35,1032,207,954,191,2.8906,134800,INLAND,,149678
-119.63,34.4,29,3865,814,1266,613,6.0069,500001,<1H OCEAN,,398092.26
-122.62,38.24,33,1369,280,758,246,4.0341,156500,<1H OCEAN,,206454
-122.33,38.29,14,3541,499,1577,459,5.3351,269900,NEAR BAY,,218086
-119.82,36.79,35,1474,291,709,294,2.6522,65900,INLAND,,73191
-118.61,34.21,41,1058,228,778,245,3.3534,180500,<1H OCEAN,,188911
-122.53,37.87,20,1814,282,658,253,7.9977,400000,NEAR BAY,,401283.04
-118.26,33.91,39,967,256,903,256,1.9038,93100,<1H OCEAN,,98308
-121.92,37.28,27,3028,486,1284,498,4.5833,308800,<1H OCEAN,,293982
-120.46,37.29,30,2972,635,1940,590,2.3594,72300,INLAND,,84092
-121.97,36.97,24,3665,870,1954,833,2.8036,228500,NEAR OCEAN,,235309
-117.16,32.73,52,1863,559,906,493,1.9203,195800,NEAR OCEAN,,169178
-118.19,33.78,24,225,72,439,71,2.8533,137500,NEAR OCEAN,,210211.06
-117.11,32.69,39,395,159,620,162,2.725,86500,NEAR OCEAN,,114717
-117.88,33.82,17,2247,705,1382,618,3.8631,225000,<1H OCEAN,,192876
-122.48,37.69,43,2661,455,1384,456,4.2421,257500,NEAR OCEAN,,241568
-118.15,34.17,36,930,280,1024,300,1.0846,146400,<1H OCEAN,,195085.05
-117.7,33.6,16,2092,489,877,392,3.0461,216900,<1H OCEAN,,158180
-116.22,33.73,38,1695,352,1279,305,2.1217,68500,INLAND,,71910
-119.07,35.34,16,4201,786,1667,724,4.8839,134100,INLAND,,144624
-120.71,37.38,14,1979,432,1756,382,2.6923,71400,INLAND,,92004
-121.36,37.99,8,1801,380,684,350,4.2589,134900,INLAND,,170655
-117.3,33.23,13,3619,791,1759,806,2.765,98500,<1H OCEAN,,136942
-118.15,33.94,37,1594,321,1003,323,3.3289,199700,<1H OCEAN,,212727
-118.11,34.15,40,1950,509,1038,438,2.6172,196100,<1H OCEAN,,187665
-117.1,32.74,30,1772,500,1389,447,2.3641,94100,NEAR OCEAN,,114438
-122.67,38.33,4,8072,1606,4323,1475,3.9518,220300,<1H OCEAN,,197308
-118.14,34.06,37,1339,258,706,238,4.7569,253800,<1H OCEAN,,225662
-118.27,34,43,1638,434,1213,390,1.3403,110800,<1H OCEAN,,105859
-118.31,33.67,42,1297,246,611,242,5.3074,401900,NEAR OCEAN,,353463.22
-122.23,40.57,18,1633,243,750,252,5.1585,150800,INLAND,,185265
-117.04,32.58,14,2355,406,1883,401,5.0311,152100,NEAR OCEAN,,159738
-118.51,34,52,1241,502,679,459,2.3098,500001,<1H OCEAN,,365705.16
-118.09,33.74,44,1671,390,871,367,4.6369,422200,NEAR OCEAN,,394497.13
-118.93,36.19,30,2685,546,951,523,2.6184,113900,INLAND,,77132
-117.22,32.75,26,696,185,384,184,2.6121,125000,NEAR OCEAN,,213735.02
-122.04,37.62,35,1032,173,453,176,6.396,208500,NEAR BAY,,357131.04
-117.22,34.07,8,3065,692,1440,666,3.2368,129200,INLAND,,112869
-117.13,34.24,17,2828,506,673,274,5.2563,144100,INLAND,,159085.01
-117.13,32.7,48,786,230,917,231,1.875,75600,NEAR OCEAN,,88726
-122.44,37.77,52,3475,807,1518,777,3.6186,500001,NEAR BAY,,463226.58
-118.24,33.96,34,1724,432,1876,416,2.1078,100600,<1H OCEAN,,107050
-119.08,35.32,8,11609,2141,5696,2100,5.0012,106300,INLAND,,149554
-119.29,34.28,38,2387,748,1537,741,2.3147,192500,NEAR OCEAN,,197808
-118.26,34.01,47,1269,323,1628,325,1.5089,115800,<1H OCEAN,,112279
-122.14,37.44,52,3117,468,1114,421,6.6756,500001,NEAR BAY,,465690.65
-117.13,32.58,27,2511,615,1427,576,3.1645,156000,NEAR OCEAN,,152469.01
-119.67,36.33,19,1241,244,850,237,2.9375,81700,INLAND,,71201
-122.43,37.81,39,3275,837,1137,725,3.7679,500001,NEAR BAY,,418408.5
-121.39,38.63,30,2930,739,1661,668,2.7813,118900,INLAND,,117176
-118.36,33.86,37,1768,314,802,290,5.0784,295900,<1H OCEAN,,303317.03
-118.33,33.92,23,969,288,670,251,3.267,185400,<1H OCEAN,,180418
-118.79,34.14,7,3003,504,1143,466,5.8548,500001,NEAR OCEAN,,375760.12
-117.82,34.13,27,3770,573,1606,562,6.1321,309700,INLAND,,247036.01
-114.57,33.57,20,1454,326,624,262,1.925,65500,INLAND,,61315
-118.08,34.13,46,1238,147,377,145,8.4546,500001,INLAND,,471141.58
-117.72,34.1,32,3241,895,1592,810,2.4952,181800,INLAND,,137871
-118.25,33.91,36,1950,365,1125,374,3.1111,119300,<1H OCEAN,,128879
-121.71,38.56,20,8627,1516,4071,1466,4.2198,164100,INLAND,,194368
-122.02,38.02,44,1465,247,817,237,4.8693,156900,NEAR BAY,,205596
-122.08,37.39,4,2292,,1050,584,4.8036,340000,NEAR BAY,,289966.05
-117.16,32.74,27,2335,604,982,590,3.1921,261500,NEAR OCEAN,,240344.05
-118.37,34.24,40,1283,246,594,236,4.1121,229200,<1H OCEAN,,210445
-118.31,34,47,1551,362,1329,322,1.9792,116400,<1H OCEAN,,112214
-120.48,37.29,17,2266,693,3200,664,1.5635,60400,INLAND,,74398
-122.54,37.99,32,2236,348,818,330,7.3521,444000,NEAR BAY,,409721.25
-117.11,32.79,16,2574,771,1129,721,3.3849,96900,NEAR OCEAN,,122933
-118.34,34.04,35,2345,607,2042,565,2.5955,139700,<1H OCEAN,,185788
-120.44,34.93,15,868,244,1133,253,2.0995,87500,<1H OCEAN,,110177
-118.54,34.23,29,1753,342,1318,333,4.125,241400,<1H OCEAN,,194331
-117.05,32.76,37,4879,906,2076,871,3.6625,154800,NEAR OCEAN,,164137
-122.04,36.97,30,2695,424,1098,420,5.3972,362300,NEAR OCEAN,,340867.02
-122.53,38.01,27,3121,531,1318,489,5.4781,310900,NEAR BAY,,295012.01
-118.39,34.16,20,4084,1062,1637,987,3.2388,256300,<1H OCEAN,,327839.02
-118.2,34.12,52,1580,426,1462,406,3.3326,167600,<1H OCEAN,,171197
-122.43,37.64,42,4091,757,1861,771,4.207,272700,NEAR OCEAN,,297698
-116.88,34.08,52,3419,777,710,265,3.9028,128600,INLAND,,120990
-122.09,37.41,8,1480,414,856,445,2.8203,284100,NEAR BAY,,204861.01
-121.9,37.3,39,3627,666,1531,635,4.537,345900,<1H OCEAN,,269842.01
-122.78,38.44,14,4143,656,1569,629,3.9766,345300,<1H OCEAN,,204377
-122.31,38.34,19,4187,684,1827,605,4.5293,210400,NEAR BAY,,198929
-117.74,34.02,33,2318,464,1904,451,3.7454,116400,INLAND,,140598
-122.01,37.93,25,2652,335,1062,334,7.5898,330200,NEAR BAY,,362337.06
-118.85,34.21,29,2195,414,1360,401,3.4773,206700,<1H OCEAN,,198009
-122.37,38.33,29,1868,291,764,284,4.825,195100,NEAR BAY,,208611
-118.11,34.07,19,3215,907,3072,870,2.3393,202300,<1H OCEAN,,193840.01
-121.28,38.7,15,5828,1051,2868,1037,3.7813,143200,INLAND,,152761
-118.1,34.08,37,2894,659,1977,636,2.543,208100,<1H OCEAN,,187740
-120.07,36.96,32,1268,283,549,273,1.4511,65200,INLAND,,66510
-118.37,33.95,32,1067,286,1053,277,2.8438,181700,<1H OCEAN,,188962
-122.42,37.8,52,3823,1040,1830,977,4.2458,450000,NEAR BAY,,488589.87
-118.7,34.3,23,2831,406,1284,393,6.1383,244100,<1H OCEAN,,282635.02
-117.12,32.57,35,1450,256,930,286,2.6715,133300,NEAR OCEAN,,138634
-122.42,37.8,52,3067,870,2122,850,2.5603,287500,NEAR BAY,,270884.07
-119.25,35.78,27,1513,342,1346,323,2.7411,59800,INLAND,,77677
-122.66,39.02,16,3715,810,943,510,1.7446,109400,INLAND,,95285
-118.45,33.99,52,1010,244,573,242,4.1861,363200,<1H OCEAN,,336024.04
-117.61,34.08,12,4427,,2400,843,4.7147,158700,INLAND,,164243
-117.96,33.93,15,2014,419,839,390,4.7446,175400,<1H OCEAN,,212015
-115.73,32.8,44,472,81,206,57,2.2083,93800,INLAND,,83378
-118.12,34.1,34,2918,555,1435,568,4.2344,306300,<1H OCEAN,,298449.04
-117.96,33.65,18,3603,879,1549,756,4.0229,363100,<1H OCEAN,,218338
-118.57,34.2,33,1759,311,943,315,5.223,209200,<1H OCEAN,,243391
-119.02,35.41,41,2221,516,1106,473,1.97,51900,INLAND,,66991
-119.06,35.33,14,5264,1064,3278,1049,3.8117,82800,INLAND,,92550
-122.44,37.77,52,3505,745,1374,714,4.3667,500001,NEAR BAY,,465280.62
-117.15,32.91,14,1259,238,889,247,4.9464,174800,<1H OCEAN,,187802.01
-118.44,34.29,30,1632,401,1357,401,3.1588,160100,<1H OCEAN,,174605
-119.8,36.02,20,156,39,171,37,3.05,225000,INLAND,,97622
-119.77,36.78,36,3616,779,1994,786,2.5434,67300,INLAND,,70877
-118.28,33.97,38,1819,497,2110,499,1.6027,97300,<1H OCEAN,,99098
-118.4,34.05,26,4473,923,1518,805,5.0762,500001,<1H OCEAN,,458895.54
-122.07,37.57,8,8647,1407,5019,1379,6.5615,318300,NEAR BAY,,349879.12
-121.56,39.08,26,1377,289,761,267,1.4934,48300,INLAND,,60962
-121.98,37.54,17,5133,1375,3386,1339,3.1326,220800,<1H OCEAN,,213966
-122.29,38.3,52,144,54,89,48,1.0096,162500,NEAR BAY,,184758.02
-118.15,33.9,20,2850,737,1855,662,2.809,144600,<1H OCEAN,,175795
-122.04,37.34,28,3081,460,1260,461,7.5372,432600,<1H OCEAN,,435306.31
-118.49,34.27,34,4877,815,2521,781,5.5714,225900,<1H OCEAN,,269039
-117.12,32.74,46,1898,441,978,439,3.2708,155200,NEAR OCEAN,,162395
-118.95,35.38,35,2220,388,906,373,3.5938,95200,INLAND,,91218
-122.08,37.4,23,806,158,373,156,5.9291,284600,NEAR BAY,,334997.07
-118.26,33.88,40,519,102,330,95,3.0972,108500,<1H OCEAN,,133205
-119.76,36.79,32,2463,468,1261,486,3.3281,75100,INLAND,,88220
-118.25,33.98,39,1553,461,2271,437,1.7378,121900,<1H OCEAN,,102743
-118.98,35.38,24,1807,465,1460,410,1.4786,54800,INLAND,,51161
-118.92,35.13,29,1297,262,909,253,1.9236,106300,INLAND,,56468
-118.21,33.8,44,1387,280,984,302,4.25,143100,NEAR OCEAN,,187507
-118.27,34.15,7,2837,776,2287,736,3.008,229000,<1H OCEAN,,227013
-119.96,35.99,25,1047,270,1505,286,2.0976,47700,INLAND,,52937
-118,34.15,48,3436,673,1540,648,4.275,256800,INLAND,,249552
-122.46,37.71,45,1799,394,1436,389,3.65,239900,NEAR OCEAN,,236006
-121.32,38.67,31,2532,479,1396,467,4.0417,114500,INLAND,,122930
-118.07,33.96,30,928,230,913,214,2.6991,147100,<1H OCEAN,,163352
-117,32.77,35,2114,317,881,320,5.5,241400,<1H OCEAN,,200556
-121.99,37.54,18,3584,715,1673,661,3.9444,240100,<1H OCEAN,,236602
-121.19,38.04,35,703,117,290,107,3.225,177100,INLAND,,158471
-118.56,34.21,13,8327,1849,4126,1773,3.7313,189800,<1H OCEAN,,239293
-116.92,32.82,16,2784,468,1458,465,4.0048,184600,<1H OCEAN,,168476
-122.2,37.78,50,1867,403,1128,378,2.5401,129100,NEAR BAY,,126726
-122.41,37.71,28,5015,1240,3900,1029,1.2269,181900,NEAR BAY,,216553.05
-122.07,37.64,22,5861,1516,5436,1463,2.5158,134900,NEAR BAY,,179007
-118.23,33.95,37,2667,671,2865,683,0.6831,87500,<1H OCEAN,,115487.02
-118.01,33.76,35,2072,349,1249,317,3.9855,191900,<1H OCEAN,,203450
-118.37,33.99,36,3228,543,1305,520,5.1695,397000,<1H OCEAN,,326078.08
-118.27,33.95,34,1261,315,1027,303,2.2946,88800,<1H OCEAN,,101956
-121.33,38.65,24,3533,741,1496,723,2.8106,183200,INLAND,,136623
-122.18,37.76,52,754,175,447,165,3.9063,93800,NEAR BAY,,158386
-121.97,37.28,27,2427,403,1301,438,5.0385,277300,<1H OCEAN,,276748
-117.5,34,15,1929,317,1237,316,4.4063,128500,INLAND,,136030
-124.1,40.9,18,4032,798,1948,775,2.7321,92600,NEAR OCEAN,,97936
-116.43,33.81,8,6710,1343,2069,781,3.5223,115100,INLAND,,181245.1
-120.76,38.47,17,1521,309,607,240,3.5,123800,INLAND,,146252
-118.41,34.17,35,2027,428,879,402,4.692,330900,<1H OCEAN,,319750.04
-122.83,38.4,37,2217,451,1019,428,3.1217,178500,<1H OCEAN,,188327
